Company,Year,Dividend,Variation,Nominal,Liquidity
Amen Bank ,2009,1.1,-0.08333333333333326,1.0,1.1
Arab Tunisian Bank ,2009,0.17,0.0,1.0,0.17
Banque de Tunisie ,2009,3.0,0.034482758620689724,25.0,0.12
Banque de l'Habitat,2009,0.6,0.0,10.0,0.06
Union Bancaire pour le Commerce et l'Industrie ,2009,1.06,-0.11666666666666659,5.0,0.21200000000000002
Banque Internationale Arabe de Tunisie ,2009,0.9,-0.09999999999999998,5.0,0.18
Attijari Bank ,2009,0.4,0.0,1.0,0.4
Banque Nationale Agricole,2009,0.4,0.0,1.0,0.4
Union Internationale de Banque,2009,0.4,0.0,1.0,0.4
Société Tunisienne de Banque,2009,0.4,0.0,5.0,0.08
Banque de Tunisie et des Emirats ,2009,1.8,0.0,10.0,0.18
ASTREE Compagnie d'Assurances et de Réassurances ,2009,2.0,0.0,5.0,0.4
Société Tunisienne d'Assurances et de Réassurances ,2009,19.3,0.0,1.0,19.3
Industries Chimiques du Fluor,2009,3.5,0.0,20.0,0.175
Air Liquide Tunisie ,2009,10.5,0.0,10.0,1.05
ALKIMIA,2009,0.6,0.04347826086956519,5.0,0.12
Société Frigorifique et Brasserie de Tunis -SFBT - ,2009,0.6,0.04347826086956519,1.0,0.6
Tunisie Lait,2009,1.5,0.0,1.0,1.5
Tuninvest SICAR,2009,1.5,0.0,1.0,1.5
Placements de Tunisie Sicaf,2009,1.5,0.0,1.0,1.5
Sté de Promotion et de Dévelop.Ind. et Touristique SICAF,2009,0.3,0.0,5.0,0.06
Tunisie Leasing ,2009,0.735,-0.020000000000000018,1.0,0.735
Cie Intenationale de Leasing ,2009,0.725,-0.033333333333333326,1.0,0.725
Arab Tunisian Lease ,2009,0.15,0.0,5.0,0.03
Société Tunisienne d'Entreprises de Télécommunication,2009,0.05,0.0,5.0,0.01
Société Tunisienne de l'Air -TUNISAIR -,2009,0.05,0.0,4.0,0.0125
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX -,2009,5.6,0.0,5.0,1.1199999999999999
Société Immobilière et de Participation -SIMPAR-,2009,1.5,0.19999999999999996,1.0,1.5
Palm Beach Hotels Tunisia ,2009,1.0,-0.09090909090909083,1.0,1.0
SOTUVER,2009,1.0,-0.09090909090909083,5.0,0.2
SIAME ,2009,0.1,-0.09090909090909083,1.0,0.1
SOTUMAG,2009,0.1,-0.09090909090909083,10.0,0.01
Magasin Général,2009,0.3,-0.5,1.0,0.3
ELECTROSTAR,2009,0.3,-0.5,1.0,0.3
SOTRAPIL,2009,0.3,0.0,1.0,0.3
SIPHAT,2009,0.7,0.0,2.0,0.35
STIP,2009,0.5,-0.23076923076923084,5.0,0.1
STEQ,2009,0.5,-0.23076923076923084,1.0,0.5
SOMOCER,2009,0.05,0.16666666666666674,1.0,0.05
ATTIJARI LEASING,2009,0.35,0.16666666666666674,1.0,0.35
Société l'Accumlateur Tunisien ASSAD ,2009,0.35,0.16666666666666674,10.0,0.034999999999999996
Société Générale Industrielle de Filtration - GIF FILTER SA ,2009,0.15,0.0,1.0,0.15
SITS ,2009,0.12,0.09090909090909083,1.0,0.12
EL WIFACK LEASING,2009,0.29,-0.17142857142857149,1.0,0.29
Société ESSOUKNA ,2009,0.27,0.12500000000000022,5.0,0.054000000000000006
ADWYA,2009,0.27,0.08000000000000007,1.0,0.27
TPR,2009,0.25,0.13636363636363646,1.0,0.25
POULINA GROUP HOLDING,2009,0.25,-0.2500000000000001,5.0,0.05
ARTES,2009,0.6,-0.2500000000000001,1.0,0.6
SOPAT,2009,0.5,0.2727272727272725,1.0,0.5
CIMENTS DE BIZERTE,2009,0.06,0.2727272727272725,5.0,0.012
SERVICOM,2009,1.4,0.2727272727272725,10.0,0.13999999999999999
Amen Bank ,2010,1.4,0.2727272727272725,1.0,1.4
Arab Tunisian Bank ,2010,0.2,0.17647058823529416,1.0,0.2
Banque de Tunisie ,2010,2.9,-0.033333333333333326,5.0,0.58
Banque de l'Habitat,2010,0.65,0.08333333333333348,1.0,0.65
Union Bancaire pour le Commerce et l'Industrie ,2010,1.25,0.17924528301886777,1.0,1.25
Banque Internationale Arabe de Tunisie ,2010,2.0,1.2222222222222223,2.0,1.0
Attijari Bank ,2010,0.45,0.125,10.0,0.045
Banque Nationale Agricole,2010,0.45,0.125,5.0,0.09
Union Internationale de Banque,2010,0.45,0.125,1.0,0.45
Société Tunisienne de Banque,2010,0.45,0.125,5.0,0.09
Banque de Tunisie et des Emirats ,2010,1.8,0.0,1.0,1.8
ASTREE Compagnie d'Assurances et de Réassurances ,2010,2.0,0.0,5.0,0.4
Société Tunisienne d'Assurances et de Réassurances ,2010,1.8,-0.9067357512953368,5.0,0.36
Industries Chimiques du Fluor,2010,3.5,0.0,1.0,3.5
Air Liquide Tunisie ,2010,9.7,-0.07619047619047625,1.0,9.7
ALKIMIA,2010,0.6,0.0,3.0,0.19999999999999998
Société Frigorifique et Brasserie de Tunis -SFBT - ,2010,0.6,0.0,1.0,0.6
Tunisie Lait,2010,3.0,0.06666666666666665,1.0,3.0
Tuninvest SICAR*,2010,3.0,0.06666666666666665,1.0,3.0
Placements de Tunisie Sicaf,2010,1.6,0.06666666666666665,1.0,1.6
Sté de Place. et de Dévelop.Ind. et Touris. SICAF,2010,0.34,0.13333333333333353,1.0,0.34
Tunisie Leasing ,2010,0.85,0.15646258503401356,5.0,0.16999999999999998
Cie Intenationale de Leasing ,2010,0.72,-0.006896551724137945,1.0,0.72
Arab Tunisian Lease ,2010,0.2,0.3333333333333335,1.0,0.2
Société Tunisienne d'Entreprises de Télécommunication,2010,5.8,0.03571428571428581,5.0,1.16
Société Tunisienne de l'Air -TUNISAIR -,2010,5.8,0.03571428571428581,5.0,1.16
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX -,2010,5.8,0.03571428571428581,1.0,5.8
Société Immobilière et de Participation -SIMPAR-,2010,1.75,0.16666666666666674,1.0,1.75
SOTUVER,2010,2.0,1.0,1.0,2.0
SIAME ,2010,0.035,-0.6499999999999999,25.0,0.0014000000000000002
SOTUMAG,2010,0.035,-0.6499999999999999,10.0,0.0035000000000000005
Magasin Général,2010,0.5,0.6666666666666667,5.0,0.1
ELECTROSTAR,2010,0.5,0.6666666666666667,5.0,0.1
SOTRAPIL,2010,0.35,0.16666666666666674,1.0,0.35
SIPHAT,2010,0.3,-0.5714285714285714,1.0,0.3
STIP,2010,0.55,0.10000000000000009,1.0,0.55
STEQ,2010,0.55,0.10000000000000009,5.0,0.11000000000000001
SOMOCER,2010,0.37,0.05714285714285716,10.0,0.037
ATTIJARI LEASING,2010,0.37,0.05714285714285716,5.0,0.074
Société l'Accumlateur Tunisien ASSAD ,2010,0.37,0.05714285714285716,1.0,0.37
Société Générale Industrielle de Filtration - GIF FILTER SA ,2010,0.17,0.13333333333333353,20.0,0.0085
SITS ,2010,0.18,0.5,10.0,0.018
EL WIFACK LEASING,2010,0.4,0.3793103448275863,5.0,0.08
Société ESSOUKNA ,2010,0.28,0.03703703703703698,1.0,0.28
ADWYA,2010,0.27,0.0,1.0,0.27
TPR,2010,0.25,0.0,1.0,0.25
POULINA GROUP HOLDING,2010,0.275,0.10000000000000009,1.0,0.275
ARTES,2010,0.725,0.20833333333333326,5.0,0.145
SOPAT,2010,0.6,0.19999999999999996,1.0,0.6
CIMENTS DE BIZERTE,2010,0.06,0.0,1.0,0.06
SERVICOM,2010,0.7,0.0,5.0,0.13999999999999999
SALIM - Société d'Assurances SALIM,2010,0.7,0.0,5.0,0.13999999999999999
TUNIS RE - Société Tunisienne de Réassurance,2010,0.375,0.0,4.0,0.09375
ENNAKL Automobiles,2010,0.5,0.0,5.0,0.1
MODERN LEASING,2010,0.7,0.0,1.0,0.7
Carthage Cement,2010,1.4,0.0,1.0,1.4
Amen Bank ,2011,1.4,0.0,5.0,0.27999999999999997
Arab Tunisian Bank ,2011,0.22,0.09999999999999987,1.0,0.22
Banque de Tunisie ,2011,0.24,-0.1724137931034483,10.0,0.024
Banque de l'Habitat,2011,0.825,-0.3400000000000001,1.0,0.825
Union Bancaire pour le Commerce et l'Industrie ,2011,0.825,-0.3400000000000001,1.0,0.825
Banque Internationale Arabe de Tunisie ,2011,2.0,0.0,1.0,2.0
Attijari Bank ,2011,0.4,-0.11111111111111105,2.0,0.2
Banque Nationale Agricole,2011,0.4,-0.11111111111111105,5.0,0.08
Union Internationale de Banque,2011,1.8,0.0,1.0,1.8
Société Tunisienne de Banque,2011,1.8,0.0,1.0,1.8
Banque de Tunisie et des Emirats ,2011,1.8,0.0,1.0,1.8
ASTREE Compagnie d'Assurances et de Réassurances ,2011,1.6,-0.19999999999999996,10.0,0.16
Société Tunisienne d'Assurances et de Réassurances ,2011,1.8,0.0,1.0,1.8
Industries Chimiques du Fluor,2011,2.5,-0.2857142857142857,1.0,2.5
Air Liquide Tunisie ,2011,10.5,0.08247422680412386,1.0,10.5
ALKIMIA,2011,0.6,0.0,5.0,0.12
Société Frigorifique et Brasserie de Tunis -SFBT - ,2011,0.6,0.0,1.0,0.6
Tunisie Lait,2011,1.0,-0.6666666666666667,1.0,1.0
Tuninvest SICAR,2011,1.0,-0.6666666666666667,5.0,0.2
Placements de Tunisie Sicaf,2011,1.8,0.125,1.0,1.8
Sté de Place. et de Dévelop.Ind. et Touris. SICAF,2011,0.42,0.23529411764705865,1.0,0.42
Tunisie Leasing ,2011,0.85,0.0,5.0,0.16999999999999998
Cie Intenationale de Leasing ,2011,0.75,0.04166666666666674,10.0,0.075
Arab Tunisian Lease ,2011,0.2,0.0,1.0,0.2
Société Tunisienne d'Entreprises de Télécommunication,2011,0.4,-0.1428571428571429,1.0,0.4
Société Tunisienne de l'Air -TUNISAIR -,2011,1.5,-0.1428571428571429,5.0,0.3
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX -,2011,1.5,-0.1428571428571429,1.0,1.5
Société Immobilière et de Participation -SIMPAR-,2011,1.5,-0.1428571428571429,1.0,1.5
SOTUVER,2011,0.25,-0.875,2.0,0.125
SIAME ,2011,0.07,-0.4285714285714286,10.0,0.007000000000000001
SOTUMAG,2011,0.02,-0.4285714285714286,5.0,0.004
Magasin Général,2011,0.4,0.14285714285714302,1.0,0.4
ELECTROSTAR,2011,0.4,0.14285714285714302,5.0,0.08
SOTRAPIL,2011,0.4,0.14285714285714302,1.0,0.4
SIPHAT,2011,0.2,-0.33333333333333326,5.0,0.04
STIP,2011,0.5,-0.09090909090909094,5.0,0.1
STEQ,2011,0.5,-0.09090909090909094,1.0,0.5
SOMOCER,2011,0.37,0.0,1.0,0.37
ATTIJARI LEASING,2011,0.37,0.0,3.0,0.12333333333333334
Société l'Accumlateur Tunisien ASSAD ,2011,0.37,0.0,1.0,0.37
Société Générale Industrielle de Filtration - GIF FILTER SA ,2011,0.15,-0.11764705882352955,1.0,0.15
SITS ,2011,0.15,-0.16666666666666663,1.0,0.15
EL WIFACK LEASING,2011,0.5,0.25,1.0,0.5
Société ESSOUKNA ,2011,0.28,0.0,1.0,0.28
ADWYA,2011,0.2,-0.2592592592592593,5.0,0.04
TPR,2011,0.25,0.0,1.0,0.25
POULINA GROUP HOLDING,2011,0.86,0.18620689655172407,1.0,0.86
ARTES,2011,0.86,0.18620689655172407,5.0,0.172
SOPAT,2011,0.06,-0.9,5.0,0.012
CIMENTS DE BIZERTE,2011,0.06,0.0,1.0,0.06
SERVICOM,2011,0.7,0.0,1.0,0.7
SALIM - Société d'Assurances SALIM,2011,0.7,0.0,1.0,0.7
TUNIS RE - Société Tunisienne de Réassurance,2011,0.375,0.0,1.0,0.375
ENNAKL Automobiles,2011,0.25,-0.5,1.0,0.25
MODERN LEASING,2011,0.35,-0.5,25.0,0.013999999999999999
Telnet holding ,2011,1.4,0.0,10.0,0.13999999999999999
Carthage Cement,2011,1.4,0.0,5.0,0.27999999999999997
Amen Bank ,2012,1.4,0.0,5.0,0.27999999999999997
Arab Tunisian Bank -ATB-,2012,0.2,-0.09090909090909083,1.0,0.2
Banque de Tunisie,2012,0.24,0.0,1.0,0.24
Banque de l'Habitat -BH-,2012,0.4,0.0,1.0,0.4
Union Bancaire pour le Commerce et l'Industrie -UBCI -,2012,0.825,0.0,5.0,0.16499999999999998
Banque Internationale Arabe de Tunisie -BIAT- ,2012,2.0,0.0,10.0,0.2
Attijari Bank ,2012,0.15,0.0,5.0,0.03
Banque Nationale Agricole -BNA-,2012,0.4,0.0,1.0,0.4
Union Internationale de Banque -UIB- ,2012,1.8,0.0,20.0,0.09
Société Tunisienne de Banque -STB-,2012,1.8,0.0,10.0,0.18
Banque de Tunisie et des Emirats  -BTE-,2012,1.8,0.0,5.0,0.36
Compagnie d'Assurances et de Réassurances  -ASTREE-,2012,1.6,0.0,1.0,1.6
Société Tunisienne d'Assurances et de Réassurances ,2012,1.8,0.0,1.0,1.8
Industries Chimiques du Fluor -ICF-,2012,4.8,-0.5428571428571429,1.0,4.8
Air Liquide Tunisie ,2012,4.8,-0.5428571428571429,1.0,4.8
ALKIMIA,2012,2.0,0.0,5.0,0.4
Société Frigorifique et Brasserie de Tunis -SFBT- ,2012,0.6,0.0,1.0,0.6
Tunisie Lait,2012,1.0,0.0,1.0,1.0
Tuninvest- SICAR ,2012,1.0,0.0,5.0,0.2
Placements de Tunisie - SICAF,2012,2.0,0.11111111111111116,5.0,0.4
Sté de Place. et de Dévelop.Ind. et Touris. SICAF,2012,0.42,0.0,4.0,0.105
Tunisie Leasing ,2012,0.85,0.0,5.0,0.16999999999999998
Cie Intenationale de Leasing - CIL-,2012,0.75,0.0,1.0,0.75
Arab Tunisian Lease ,2012,0.2,0.0,1.0,0.2
Société Tunisienne d'Entreprises de Télécommunication,2012,0.2,-0.5,5.0,0.04
Société Tunisienne de l'Air -TUNISAIR -,2012,0.4,0.0,1.0,0.4
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2012,0.4,0.0,10.0,0.04
Société Immobilière et de Participation -SIMPAR-,2012,1.5,0.0,1.0,1.5
SOTUVER,2012,0.25,0.0,1.0,0.25
SIAME ,2012,0.07,0.0,1.0,0.07
SOTUMAG,2012,0.023,0.1499999999999999,2.0,0.0115
Magasin Général,2012,0.45,0.125,5.0,0.09
ELECTROSTAR,2012,0.45,0.125,1.0,0.45
SOTRAPIL,2012,0.45,0.125,1.0,0.45
SIPHAT,2012,0.05,0.027027027027026973,1.0,0.05
STIP,2012,0.05,0.027027027027026973,10.0,0.005
STEQ,2012,0.05,0.027027027027026973,1.0,0.05
SOMOCER,2012,0.05,0.027027027027026973,1.0,0.05
ATTIJARI LEASING,2012,1.0,0.027027027027026973,1.0,1.0
Société l'Accumlateur Tunisien ASSAD ,2012,0.38,0.027027027027026973,5.0,0.076
Société Générale Industrielle de Filtration -GIF- ,2012,0.15,0.0,1.0,0.15
SITS ,2012,0.1,-0.33333333333333326,1.0,0.1
EL WIFACK LEASING,2012,0.5,0.0,5.0,0.1
Société ESSOUKNA ,2012,0.28,0.0,1.0,0.28
ADWYA,2012,0.22,-0.12,1.0,0.22
TPR,2012,0.22,-0.12,5.0,0.044
POULINA GROUP HOLDING,2012,0.17,0.0625,10.0,0.017
ARTES,2012,0.55,-0.36046511627906974,1.0,0.55
SOPAT,2012,0.05,-0.16666666666666663,1.0,0.05
CIMENTS DE BIZERTE,2012,0.1,0.6666666666666667,5.0,0.02
SERVICOM,2012,0.7,0.0,1.0,0.7
SALIM - Société d'Assurances SALIM,2012,0.7,0.0,1.0,0.7
TUNIS RE - Société Tunisienne de Réassurance,2012,0.325,-0.1333333333333333,2.0,0.1625
ENNAKL Automobiles,2012,0.25,0.0,10.0,0.025
MODERN LEASING,2012,0.25,-0.3928571428571428,5.0,0.05
Telnet holding ,2012,0.25,-0.3928571428571428,1.0,0.25
Carthage Cement,2012,0.1,-0.3928571428571428,5.0,0.02
HEXABYTE,2012,0.1,-0.3928571428571428,1.0,0.1
AMS,2012,0.85,-0.3928571428571428,5.0,0.16999999999999998
Amen Bank ,2013,0.85,-0.3928571428571428,5.0,0.16999999999999998
Arab Tunisian Bank -ATB-,2013,0.22,0.09999999999999987,1.0,0.22
Banque de Tunisie,2013,0.26,0.08333333333333348,1.0,0.26
Banque de l'Habitat -BH-,2013,0.4,0.0,3.0,0.13333333333333333
Union Bancaire pour le Commerce et l'Industrie -UBCI -,2013,0.6,-0.2727272727272727,1.0,0.6
Banque Internationale Arabe de Tunisie -BIAT- ,2013,2.5,0.25,1.0,2.5
Attijari Bank ,2013,1.34,7.933333333333334,1.0,1.34
Banque Nationale Agricole -BNA-,2013,0.4,0.0,1.0,0.4
Union Internationale de Banque -UIB- ,2013,1.8,0.0,1.0,1.8
Société Tunisienne de Banque -STB-,2013,1.8,0.0,5.0,0.36
Banque de Tunisie et des Emirats  -BTE-,2013,1.8,0.0,1.0,1.8
Compagnie d'Assurances et de Réassurances  -ASTREE-,2013,1.3,-0.1875,1.0,1.3
Société Tunisienne d'Assurances et de Réassurances ,2013,1.8,0.0,5.0,0.36
Industries Chimiques du Fluor -ICF-,2013,4.2,0.0625,5.0,0.8400000000000001
Air Liquide Tunisie ,2013,5.1,0.0625,1.0,5.1
ALKIMIA,2013,4.7,1.35,1.109,4.238052299368801
Société Frigorifique et Brasserie de Tunis -SFBT- ,2013,0.65,0.08333333333333348,1.0,0.65
Elbene Industrie,2013,1.0,0.0,1.0,1.0
Tuninvest- SICAR ,2013,1.0,0.0,1.0,1.0
Placements de Tunisie - SICAF,2013,2.0,0.0,25.0,0.08
Sté de Place. et de Dévelop.Ind. et Touris. SICAF,2013,0.55,0.30952380952380976,10.0,0.05500000000000001
Tunisie Leasing ,2013,1.0,0.17647058823529416,5.0,0.2
Cie Intenationale de Leasing - CIL-,2013,0.75,0.0,5.0,0.15
Arab Tunisian Lease ,2013,0.2,0.0,1.0,0.2
Société Tunisienne d'Entreprises de Télécommunication,2013,0.2,0.0,1.0,0.2
Société Tunisienne de l'Air -TUNISAIR -,2013,0.6,0.4999999999999998,1.0,0.6
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2013,0.6,0.4999999999999998,5.0,0.12
Société Immobilière et de Participation -SIMPAR-,2013,1.5,0.0,10.0,0.15
SOTUVER,2013,0.2,-0.19999999999999996,5.0,0.04
SIAME ,2013,0.07,0.0,5.0,0.014000000000000002
SOTUMAG,2013,0.06,1.608695652173913,1.0,0.06
Magasin Général,2013,0.4,-0.11111111111111105,20.0,0.02
ELECTROSTAR,2013,0.4,-0.11111111111111105,10.0,0.04
SOTRAPIL,2013,0.4,-0.11111111111111105,5.0,0.08
SIPHAT,2013,0.06,0.19999999999999996,1.0,0.06
STIP,2013,0.06,0.19999999999999996,1.0,0.06
STEQ,2013,0.06,0.19999999999999996,1.0,0.06
SOMOCER,2013,0.06,0.19999999999999996,1.0,0.06
ATTIJARI LEASING,2013,1.2,0.19999999999999996,5.0,0.24
Société l'Accumlateur Tunisien ASSAD ,2013,0.38,0.0,1.0,0.38
Société Générale Industrielle de Filtration -GIF- ,2013,0.1,-0.33333333333333326,1.0,0.1
SITS ,2013,0.18,0.7999999999999998,5.0,0.036
EL WIFACK LEASING,2013,0.55,0.10000000000000009,5.0,0.11000000000000001
Société ESSOUKNA ,2013,0.28,0.0,2.0,0.14
ADWYA,2013,0.15,0.0,1.0,0.15
TPR,2013,0.22,0.0,1.0,0.22
POULINA GROUP HOLDING,2013,0.2,0.17647058823529416,5.0,0.04
ARTES,2013,0.5,-0.09090909090909094,1.0,0.5
SOPAT,2013,0.85,0.0,10.0,0.08499999999999999
CIMENTS DE BIZERTE,2013,0.85,0.2142857142857144,1.0,0.85
SERVICOM,2013,0.85,0.2142857142857144,1.0,0.85
SALIM - Société d'Assurances SALIM,2013,0.85,0.2142857142857144,1.0,0.85
TUNIS RE - Société Tunisienne de Réassurance,2013,0.35,0.07692307692307687,2.0,0.175
ENNAKL Automobiles,2013,0.333,0.3320000000000001,5.0,0.0666
MODERN LEASING,2013,0.3,0.19999999999999996,1.0,0.3
Telnet holding ,2013,0.3,0.19999999999999996,1.0,0.3
Carthage Cement,2013,0.1,0.0,1.0,0.1
HEXABYTE,2013,0.1,0.0,10.0,0.01
Land'or ,2013,0.355,0.6666666666666667,1.0,0.355
AETECH,2013,0.355,0.6666666666666667,1.0,0.355
NEW BODY LINE ,2013,0.355,0.6666666666666667,1.0,0.355
ONE TECH,2013,0.25,0.6666666666666667,5.0,0.05
BEST LEASE,2013,0.25,0.6666666666666667,1.0,0.25
HANNIBAL LEASE,2013,0.25,0.6666666666666667,1.0,0.25
EURO CYCLES,2013,0.25,0.6666666666666667,1.0,0.25
SYPHAX AIRLINES,2013,0.25,0.6666666666666667,1.0,0.25
CITY CARS,2013,0.25,0.6666666666666667,5.0,0.05
AMS,2013,0.25,0.6666666666666667,10.0,0.025
ADWYA,2014,0.25,0.6666666666666667,1.0,0.25
AETECH,2014,6.2,0.21568627450980404,1.0,6.2
Air Liquide Tunisie ,2014,6.2,0.21568627450980404,5.0,1.24
ALKIMIA,2014,6.42,0.3659574468085105,1.0,6.42
Amen Bank ,2014,1.0,0.17647058823529416,1.0,1.0
AMS,2014,0.22,0.0,2.0,0.11
Arab Tunisian Bank -ATB-,2014,0.22,0.0,10.0,0.022
Arab Tunisian Lease ,2014,0.2,0.0,5.0,0.04
ARTES,2014,0.415,-0.17000000000000004,1.0,0.415
Attijari Bank ,2014,1.34,0.0,5.0,0.268
ATTIJARI LEASING,2014,1.0,-0.16666666666666663,1.0,1.0
Banque de l'Habitat -BH-,2014,0.26,0.0,5.0,0.052000000000000005
Banque de Tunisie,2014,0.26,0.0,5.0,0.052000000000000005
Banque de Tunisie et des Emirats  -BTE-,2014,1.8,0.0,1.0,1.8
Banque Internationale Arabe de Tunisie -BIAT- ,2014,2.5,0.0,1.0,2.5
Banque Nationale Agricole -BNA-,2014,0.1,0.0,3.0,0.03333333333333333
BEST LEASE,2014,0.1,0.0,1.0,0.1
Carthage Cement,2014,0.13,0.0,1.0,0.13
CELLCOM,2014,0.13,0.0,1.0,0.13
CEREALIS,2014,0.75,0.0,1.0,0.75
Cie Intenationale de Leasing - CIL-,2014,0.75,0.0,1.0,0.75
CIMENTS DE BIZERTE,2014,0.67,0.15384615384615374,5.0,0.134
CITY CARS,2014,0.67,0.15384615384615374,1.0,0.67
Compagnie d'Assurances et de Réassurances  -ASTREE-,2014,1.5,0.15384615384615374,5.0,0.3
EL WIFACK LEASING,2014,0.6,0.09090909090909083,1.0,0.6
Elbene Industrie,2014,0.4,0.20120120120120122,5.0,0.08
ELECTROSTAR,2014,0.4,0.20120120120120122,5.0,0.08
ENNAKL Automobiles,2014,0.4,0.20120120120120122,1.0,0.4
EURO CYCLES,2014,0.75,0.19999999999999996,1.109,0.6762849413886384
HANNIBAL LEASE,2014,0.3,0.19999999999999996,1.0,0.3
HEXABYTE,2014,0.12,0.19999999999999996,1.0,0.12
Industries Chimiques du Fluor -ICF-,2014,2.23,-0.46904761904761905,1.0,2.23
Land'or ,2014,0.2,0.12676056338028174,25.0,0.008
Magasin Général,2014,0.2,0.12676056338028174,10.0,0.02
Maghreb International Publicité -MIP -,2014,0.2,0.12676056338028174,5.0,0.04
Manufacture de Panneaux Bois du Sud - MPBS -,2014,0.2,0.12676056338028174,5.0,0.04
MODERN LEASING,2014,0.4,0.12676056338028174,1.0,0.4
NEW BODY LINE ,2014,0.4,0.12676056338028174,1.0,0.4
ONE TECH HOLDING,2014,0.21,0.0,1.0,0.21
Placements de Tunisie - SICAF,2014,2.0,0.0,5.0,0.4
POULINA GROUP HOLDING,2014,0.21,0.04999999999999982,10.0,0.020999999999999998
SERVICOM,2014,0.1,0.4285714285714286,5.0,0.02
SIAME ,2014,0.1,0.4285714285714286,5.0,0.02
SIPHAT,2014,0.05,-0.7222222222222222,1.0,0.05
SITS ,2014,0.05,-0.7222222222222222,20.0,0.0025
Société d'Articles Hygiéniques SAH -,2014,0.355,0.0,10.0,0.0355
Société d'Assurances SALIM,2014,0.85,0.0,5.0,0.16999999999999998
Société de Fabrication des Boissons de Tunisie -SFBT- ,2014,0.65,0.0,1.0,0.65
Société de Production Agricole Teboulba - SOPAT -,2014,0.5,0.25,1.0,0.5
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL -,2014,0.5,0.25,1.0,0.5
Société Délice Holding,2014,0.28,0.0,1.0,0.28
Société ESSOUKNA ,2014,0.28,0.0,5.0,0.05600000000000001
Société Générale Industrielle de Filtration -GIF- ,2014,0.1,0.0,1.0,0.1
Société Immobilière et de Participation -SIMPAR-,2014,1.5,0.0,1.0,1.5
Société l'Accumlateur Tunisien ASSAD ,2014,0.38,0.0,5.0,0.076
Société Moderne de Céramique -SOMOCER-,2014,0.05,-0.16666666666666663,5.0,0.01
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2014,0.6,0.0,2.0,0.3
Société Tunisienne d'Assurances et de Réassurances - STAR-,2014,1.8,0.0,1.0,1.8
Société Tunisienne de Banque -STB-,2014,0.35,0.0,1.0,0.35
Société Tunisienne de l'Air -TUNISAIR -,2014,0.35,0.0,5.0,0.06999999999999999
Société Tunisienne de Réassurance -TUNIS RE -,2014,0.35,0.0,1.0,0.35
Société Tunisienne de Verreries - SOTUVER -,2014,0.2,0.0,10.0,0.02
Société Tunisienne d'Entreprises de Télécommunications - SOTETEL -,2014,0.08,0.3333333333333335,1.0,0.08
Société Tunisienne d'Equpement - STEQ -,2014,0.08,0.3333333333333335,1.0,0.08
Société Tunisienne des Marchés de Gros - SOTUMAG -,2014,0.08,0.3333333333333335,1.0,0.08
Société Tunisienne Industrielle du Papier et du Carton - SOTIPAPIER -,2014,0.25,0.0,2.0,0.125
Société Tunisiennes des Induustries Pneumatiques -STIP -,2014,0.045,0.0,5.0,0.009
SOTEMAIL,2014,0.045,0.0,1.0,0.045
Sté de Place. et de Dévelop.Ind. et Touris. SICAF - SPDIT -,2014,0.55,0.0,1.0,0.55
SYPHAX AIRLINES,2014,0.3,0.0,1.0,0.3
Tawasol Group Holding,2014,0.3,0.0,10.0,0.03
Telnet holding ,2014,0.3,0.0,1.0,0.3
Tuninvest- SICAR ,2014,1.0,0.0,1.0,1.0
